hour,policy_adherence_rate,brand_greeting_pct,engaged_without_wait_pct,personalization_pct,mobile_checkin_pct,loyalty_check_pct,cart_confirmation_pct,price_confirmation_pct
00:00,92.5,88.0,85.0,72.0,45.0,68.0,92.0,90.0
01:00,91.0,87.0,84.0,70.0,44.0,67.0,91.0,89.0
02:00,90.0,86.0,83.0,69.0,43.0,66.0,90.0,88.0
03:00,89.5,85.5,82.5,68.5,42.5,65.5,89.5,87.5
04:00,91.5,87.5,84.5,71.0,45.5,68.5,92.0,90.5
05:00,93.0,89.0,86.0,73.0,47.0,70.0,93.0,91.0
06:00,94.5,90.5,87.5,75.0,49.0,72.0,94.5,92.5
07:00,95.0,91.0,88.0,76.0,50.0,73.0,95.0,93.0
08:00,95.5,91.5,88.5,76.5,50.5,73.5,95.5,93.5
09:00,94.0,90.0,87.0,74.5,48.5,71.5,94.0,92.0
10:00,93.5,89.5,86.5,74.0,48.0,71.0,93.5,91.5
11:00,95.0,91.0,88.0,76.0,50.0,73.0,95.0,93.0
12:00,96.0,92.0,89.0,77.0,51.0,74.0,96.0,94.0
13:00,95.5,91.5,88.5,76.5,50.5,73.5,95.5,93.5
14:00,94.5,90.5,87.5,75.5,49.5,72.5,94.5,92.5
15:00,95.0,91.0,88.0,76.0,50.0,73.0,95.0,93.0
16:00,95.5,91.5,88.5,76.5,50.5,73.5,95.5,93.5
17:00,96.5,92.5,89.5,77.5,51.5,74.5,96.5,94.5
18:00,96.0,92.0,89.0,77.0,51.0,74.0,96.0,94.0
19:00,95.5,91.5,88.5,76.5,50.5,73.5,95.5,93.5
20:00,94.5,90.5,87.5,75.5,49.5,72.5,94.5,92.5
21:00,93.0,89.0,86.0,74.0,48.0,71.0,93.0,91.5
22:00,92.0,88.0,85.0,72.5,46.5,69.5,92.0,90.5
23:00,91.5,87.5,84.5,71.5,45.5,68.5,91.5,90.0

